player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
189206,149943,112429,5783,8021,276176,1853116,1389542,73443,99543,3415644,0.5429255257516946,0.4070918544696136,0.020939545796883147,0.029043073981808703,0.08091398487736332,0.08091083249012984,0.07874133681902973,0.08057824256853822,-207.65811,204.72359,210.69916,-203.20425,210.856,-193.22223,191.52571,197.75974,-211.46834,-181.2918,-207.62837,-207.38426,-214.5758,-185.8167,-200.0106,-203.88234
332894,152764,122075,6117,9271,290227,1792597,1424174,71130,109027,3396928,0.5263604006519035,0.4206190326882061,0.02107660555358392,0.03194396110630644,0.08521937724987826,0.08571635207495713,0.08599746942218474,0.08503398240802737,-164.46902,163.0422,167.28674,-162.4961,166.43794,-151.32372,149.58034,159.21832,-166.77095,-145.23766,-163.0126,-166.39183,-171.1705,-147.88124,-159.13654,-163.72833
333671,63402,46474,2246,3432,115554,926729,680704,33118,50998,1691549,0.5486785399034217,0.4021842601727331,0.019436800110770723,0.029700399813074405,0.0684148224561873,0.06827343456186537,0.06781810495802887,0.06729675673555825,-217.73636,216.78122,221.15134,-215.61452,221.40784,-204.17984,199.15404,209.72179,-222.05501,-191.39394,-217.47417,-217.67009,-225.81987,-194.91585,-210.62851,-214.69919
333676,154380,115596,6198,7954,284128,1862920,1393734,74238,97886,3428778,0.5433466606599843,0.40684480234260617,0.021814111949543868,0.02799442504786575,0.08286990316277672,0.08293978621458614,0.083488240523721,0.08125778967370206,-187.37935,186.94543,189.94617,-186.01791,189.79959,-173.6546,170.74376,181.80316,-190.81749,-166.1726,-185.96959,-189.55424,-195.04665,-168.52406,-181.23573,-186.58124
333914,67084,54071,2454,4103,127712,816382,661407,30710,48528,1557027,0.525275620145327,0.42338229766975694,0.01921510899523929,0.03212697318967677,0.08217231639110123,0.0817514782879528,0.07990882448713774,0.08454912627761292,-252.82076,250.29721,257.73383,-248.70087,256.95416,-235.08636,231.58675,242.42389,-257.26498,-220.56514,-253.16528,-252.10991,-262.57007,-226.01105,-243.97552,-249.57835
334313,38408,28006,1432,2293,70139,1313628,990613,49208,68272,2421721,0.5475983404382726,0.3992928328034332,0.020416601320235532,0.03269222543805871,0.02923811002810537,0.028271383476695743,0.02910095919362705,0.03358624326224514,-166.32422,163.58304,169.43379,-163.8461,169.93077,-157.17833,150.72261,157.7039,-167.51495,-143.92117,-166.59447,-163.55472,-170.9476,-148.65833,-159.16881,-163.20311
458509,82366,62167,3473,4406,152412,1182576,879972,47134,63304,2172986,0.5404167650841141,0.4078878303545653,0.02278691966511823,0.0289084848962024,0.06964964619610071,0.07064656602710086,0.07368354054398099,0.06960065714646783,-245.92145,244.07246,250.50108,-242.09798,250.18524,-228.34476,225.8659,236.54437,-250.61768,-215.70668,-246.07675,-246.61739,-255.94174,-220.36485,-238.24837,-242.88954
606791,5420,4359,192,200,10171,73114,58829,3159,2623,137725,0.5328876216694524,0.42857142857142855,0.0188771998820175,0.019663749877101563,0.07413080942090434,0.07409610906185725,0.060778727445394115,0.07624857033930614,-157.29074,157.7119,159.91577,-156.78522,160.26372,-148.68614,143.20349,151.55565,-160.48631,-138.28204,-157.20482,-156.75261,-163.6081,-141.53014,-151.96373,-155.57748
813580,12175,9915,576,738,23404,335101,269901,14397,22103,641502,0.5202102204751324,0.4236455306785165,0.02461117757648265,0.0315330712698684,0.036332329655835105,0.036735691975946734,0.04000833506980621,0.03338913269691897,-146.46725,145.56386,149.63953,-144.76982,149.30704,-136.62715,133.35623,141.36934,-148.2648,-128.8368,-146.66916,-146.85106,-152.37396,-132.1467,-141.79657,-145.43771
815857,70251,55021,2660,4101,132033,1031640,806848,39021,60318,1937827,0.5320715275726523,0.4167215771814622,0.02014647853188218,0.03106041671400332,0.06809642898685588,0.06819252201158087,0.06816842213167269,0.06798965482940415,-169.3197,168.9768,171.25589,-168.36896,171.64699,-157.37698,153.92514,164.06648,-172.35565,-150.13129,-167.4787,-171.41917,-175.98482,-152.41911,-163.6524,-168.37402
886603,176890,140396,7029,10726,335041,1922398,1527889,76417,116602,3643306,0.5279652341056766,0.41904125166770634,0.020979521909258867,0.03201399231735817,0.09201528507624332,0.09188887412632724,0.09198215056859076,0.09198813056379822,-174.1631,175.07396,176.02098,-174.00642,177.02115,-164.12762,158.83058,168.50703,-178.08179,-154.66583,-173.23352,-175.30812,-181.38135,-156.92937,-168.23654,-173.04852
1002373,163410,130474,6440,9821,310145,1922398,1527889,76417,116602,3643306,0.5268825871769656,0.42068709797030424,0.020764481129794128,0.03166583372293605,0.08500320953309357,0.08539494688423047,0.0842744415509638,0.08422668564861666,-187.33908,184.67148,189.97316,-183.28952,190.10753,-174.75848,172.73181,178.47986,-190.95714,-163.85825,-187.37337,-186.6176,-193.41086,-167.23018,-180.36443,-183.52322
1002427,46416,38053,1627,2332,88428,819814,665043,28182,44441,1557480,0.5249016148731172,0.430327498077532,0.018399149590627405,0.026371737458723482,0.0566177206049177,0.0572188565250668,0.05773188560073806,0.05247406674017236,-181.49135,181.4891,184.63406,-180.99443,185.33597,-172.35391,165.47916,174.28168,-184.74815,-159.55878,-182.43011,-180.74971,-188.99191,-163.4297,-174.9416,-179.91711
27132,157236,123764,6649,7756,295405,1922648,1508638,83334,99015,3613635,0.5322726426431509,0.4189637954672399,0.022508082124540883,0.026255479765068295,0.08178096042541329,0.08203691011362567,0.0797873617011064,0.07833156592435489,-201.00148,198.21252,203.63118,-196.56444,203.96144,-187.29576,185.35599,191.44463,-204.91936,-175.80775,-200.8912,-200.53537,-207.53354,-179.6402,-193.38441,-196.94835
34213,138214,104999,5173,8817,257203,1877281,1420291,68622,125612,3491806,0.537373203267458,0.40823396305641846,0.020112518127704575,0.034280315548418955,0.07362456659391961,0.07392780775207335,0.07538398764244703,0.07019233831162627,-234.94633,231.8213,239.05243,-231.04884,238.63853,-219.55785,214.23177,224.2308,-238.56201,-204.97008,-234.11505,-233.31178,-242.51682,-209.21507,-226.16675,-230.7804
34555,95974,72642,3761,5952,178329,1504752,1149911,62874,86865,2804402,0.538185040010318,0.4073482159379574,0.021090232099097734,0.033376511952626885,0.06378060969515242,0.06317184547325837,0.059818048796004705,0.06852011742358832,-233.06554,232.22906,236.55154,-231.0256,236.91718,-218.98865,212.94148,224.30829,-237.69412,-204.80577,-232.81215,-232.63959,-241.70744,-208.59966,-225.04448,-229.79594
36536,80182,62651,3913,4627,151373,1526196,1187063,69754,82914,2865927,0.5296981628163543,0.4138849068195781,0.02585005251927358,0.030566877844793984,0.052537157743828444,0.05277815920469259,0.056097141382573046,0.05580480980292834,-219.3958,214.10023,223.29062,-214.53331,223.35533,-205.2164,199.386,207.19183,-221.20595,-189.42912,-218.51949,-216.23894,-224.84546,-194.92064,-209.89642,-214.57048
36600,149106,111913,4915,10136,276070,1671183,1257263,58361,114937,3101744,0.5401021480059405,0.40537907052559136,0.01780345564530735,0.03671532582316079,0.08922182669402454,0.089013197715991,0.08421719984236048,0.08818744181595135,-88.42372,87.0215,89.05068,-87.910416,90.21043,-83.10997,80.76278,84.32011,-89.32894,-77.8934,-88.191315,-89.47319,-91.79351,-79.45802,-84.81039,-87.802925
48638,175663,136352,6830,9357,328202,1981709,1534218,83231,107130,3706288,0.5352283045197774,0.41545145977172593,0.02081035459869227,0.028509881109804326,0.08864217703002812,0.08887394099143668,0.08206077062632913,0.08734248109773173,-87.89798,86.521225,88.55662,-87.39569,89.70364,-82.63126,80.3131,83.82871,-88.80925,-77.460236,-87.71447,-88.9509,-91.28746,-79.0038,-84.339775,-87.30023
49698,111569,85397,4719,6643,208328,1536000,1173170,61814,96142,2867126,0.5355449099496947,0.4099160938520026,0.02265177988556507,0.0318872163127376,0.07263606770833334,0.07279166702182974,0.07634192901284499,0.06909571259179131,-167.05682,167.62422,169.08292,-166.68858,169.7897,-157.57298,152.2195,161.27524,-170.75717,-147.91965,-166.3204,-167.47537,-173.76962,-150.25128,-161.25851,-165.64078
58762,67514,50904,2115,4970,125503,1083168,811014,33414,84615,2012211,0.5379473000645403,0.40559986613865806,0.01685218680031553,0.03960064699648614,0.062330127921061185,0.06276587087275928,0.06329682169150655,0.05873663062104828,-201.17493,197.87042,204.34637,-196.84853,204.459,-188.01608,184.37712,191.40018,-204.29744,-175.14108,-201.31421,-199.28447,-207.13716,-179.0706,-193.30005,-196.84012
